id,module,name,path,route,evidence_level,evidence_ref,status,notes
MAP-0001,admin/account,API-APP-0001,app,/api/admin/account,I,reverse-evidence/api-routes.txt,/api/admin/account,normalized_key=/api/admin/account
MAP-0002,admin/account,API-APP-0002,app,/api/admin/account/recover,I,reverse-evidence/api-routes.txt,/api/admin/account/recover,normalized_key=/api/admin/account/recover
MAP-0003,admin/accounting,API-APP-0003,app,/api/admin/accounting/categories/,I,reverse-evidence/api-routes.txt,/api/admin/accounting/categories,normalized_key=/api/admin/accounting/categories
MAP-0004,admin/accounting,API-APP-0004,app,/api/admin/accounting/categoriesr,S,reverse-evidence/api-routes.txt,/api/admin/accounting/categoriesr,normalized_key=/api/admin/accounting/categoriesr
MAP-0005,admin/accounting,API-APP-0005,app,/api/admin/accounting/daily-report,S,reverse-evidence/api-routes.txt,/api/admin/accounting/daily-report,normalized_key=/api/admin/accounting/daily-report
MAP-0006,admin/accounting,API-APP-0006,app,/api/admin/accounting/goods-sales-report,S,reverse-evidence/api-routes.txt,/api/admin/accounting/goods-sales-report,normalized_key=/api/admin/accounting/goods-sales-report
MAP-0007,admin/accounting,API-APP-0007,app,/api/admin/accounting/monthly-report,S,reverse-evidence/api-routes.txt,/api/admin/accounting/monthly-report,normalized_key=/api/admin/accounting/monthly-report
MAP-0008,admin/accounting,API-APP-0008,app,/api/admin/accounting/records,S,reverse-evidence/api-routes.txt,/api/admin/accounting/records,normalized_key=/api/admin/accounting/records
MAP-0009,admin/accounting,API-APP-0009,app,/api/admin/accounting/records/,S,reverse-evidence/api-routes.txt,/api/admin/accounting/records,normalized_key=/api/admin/accounting/records
MAP-0010,admin/accounting,API-APP-0010,app,/api/admin/accounting/statisticsr,S,reverse-evidence/api-routes.txt,/api/admin/accounting/statisticsr,normalized_key=/api/admin/accounting/statisticsr
MAP-0011,admin/accounting,API-APP-0011,app,/api/admin/accounting/subcategories,S,reverse-evidence/api-routes.txt,/api/admin/accounting/subcategories,normalized_key=/api/admin/accounting/subcategories
MAP-0012,admin/ad,API-APP-0012,app,/api/admin/ad/video,S,reverse-evidence/api-routes.txt,/api/admin/ad/video,normalized_key=/api/admin/ad/video
MAP-0013,admin/ad,API-APP-0013,app,/api/admin/ad/video/set,S,reverse-evidence/api-routes.txt,/api/admin/ad/video/set,normalized_key=/api/admin/ad/video/set
MAP-0014,admin/analytics,API-APP-0014,app,/api/admin/analytics/breeding/ranking,I,reverse-evidence/api-routes.txt,/api/admin/analytics/breeding/ranking,normalized_key=/api/admin/analytics/breeding/ranking
MAP-0015,admin/analytics,API-APP-0015,app,/api/admin/analytics/cat/rankingr,S,reverse-evidence/api-routes.txt,/api/admin/analytics/cat/rankingr,normalized_key=/api/admin/analytics/cat/rankingr
MAP-0016,admin/analytics,API-APP-0016,app,/api/admin/analytics/cat/stats,S,reverse-evidence/api-routes.txt,/api/admin/analytics/cat/stats,normalized_key=/api/admin/analytics/cat/stats
MAP-0017,admin/analytics,API-APP-0017,app,/api/admin/analytics/overview,S,reverse-evidence/api-routes.txt,/api/admin/analytics/overview,normalized_key=/api/admin/analytics/overview
MAP-0018,admin/analytics,API-APP-0018,app,/api/admin/analytics/trend,S,reverse-evidence/api-routes.txt,/api/admin/analytics/trend,normalized_key=/api/admin/analytics/trend
MAP-0019,admin/analytics,API-APP-0019,app,/api/admin/analytics/visitors,S,reverse-evidence/api-routes.txt,/api/admin/analytics/visitors,normalized_key=/api/admin/analytics/visitors
MAP-0020,admin/app-tool-badges,API-APP-0020,app,/api/admin/app-tool-badges,S,reverse-evidence/api-routes.txt,/api/admin/app-tool-badges,normalized_key=/api/admin/app-tool-badges
MAP-0021,admin/app-version,API-APP-0021,app,/api/admin/app-version/check-update,S,reverse-evidence/api-routes.txt,/api/admin/app-version/check-update,normalized_key=/api/admin/app-version/check-update
MAP-0022,admin/app,API-APP-0022,app,/api/admin/app/apple,S,reverse-evidence/api-routes.txt,/api/admin/app/apple,normalized_key=/api/admin/app/apple
MAP-0023,admin/app,API-APP-0023,app,/api/admin/app/bind-phone,S,reverse-evidence/api-routes.txt,/api/admin/app/bind-phone,normalized_key=/api/admin/app/bind-phone
MAP-0024,admin/app,API-APP-0024,app,/api/admin/app/login,I,reverse-evidence/api-routes.txt,/api/admin/app/login,normalized_key=/api/admin/app/login
MAP-0025,admin/app,API-APP-0025,app,/api/admin/app/register,I,reverse-evidence/api-routes.txt,/api/admin/app/register,normalized_key=/api/admin/app/register
MAP-0026,admin/articles,API-APP-0026,app,/api/admin/articles,S,reverse-evidence/api-routes.txt,/api/admin/articles,normalized_key=/api/admin/articles
MAP-0027,admin/auto-backup,API-APP-0027,app,/api/admin/auto-backup/config,S,reverse-evidence/api-routes.txt,/api/admin/auto-backup/config,normalized_key=/api/admin/auto-backup/config
MAP-0028,admin/auto-backup,API-APP-0028,app,/api/admin/auto-backup/send-verify-code,S,reverse-evidence/api-routes.txt,/api/admin/auto-backup/send-verify-code,normalized_key=/api/admin/auto-backup/send-verify-code
MAP-0029,admin/auto-backup,API-APP-0029,app,/api/admin/auto-backup/verify-email,S,reverse-evidence/api-routes.txt,/api/admin/auto-backup/verify-email,normalized_key=/api/admin/auto-backup/verify-email
MAP-0030,admin/boarding,API-APP-0030,app,/api/admin/boarding/,S,reverse-evidence/api-routes.txt,/api/admin/boarding,normalized_key=/api/admin/boarding
MAP-0031,admin/boarding,API-APP-0031,app,/api/admin/boarding/add,I,reverse-evidence/api-routes.txt,/api/admin/boarding/add,normalized_key=/api/admin/boarding/add
MAP-0032,admin/boarding,API-APP-0032,app,/api/admin/boarding/config,S,reverse-evidence/api-routes.txt,/api/admin/boarding/config,normalized_key=/api/admin/boarding/config
MAP-0033,admin/boarding,API-APP-0033,app,/api/admin/boarding/detail/,I,reverse-evidence/api-routes.txt,/api/admin/boarding/detail,normalized_key=/api/admin/boarding/detail
MAP-0034,admin/boarding,API-APP-0034,app,/api/admin/boarding/list,I,reverse-evidence/api-routes.txt,/api/admin/boarding/list,normalized_key=/api/admin/boarding/list
MAP-0035,admin/boarding,API-APP-0035,app,/api/admin/boarding/operate,S,reverse-evidence/api-routes.txt,/api/admin/boarding/operate,normalized_key=/api/admin/boarding/operate
MAP-0036,admin/brand-tasks,API-APP-0036,app,/api/admin/brand-tasks/,S,reverse-evidence/api-routes.txt,/api/admin/brand-tasks,normalized_key=/api/admin/brand-tasks
MAP-0037,admin/brand-tasks,API-APP-0037,app,/api/admin/brand-tasks/availabler,S,reverse-evidence/api-routes.txt,/api/admin/brand-tasks/availabler,normalized_key=/api/admin/brand-tasks/availabler
MAP-0038,admin/breeding,API-APP-0038,app,/api/admin/breeding/invite/,I,reverse-evidence/api-routes.txt,/api/admin/breeding/invite,normalized_key=/api/admin/breeding/invite
MAP-0039,admin/breeding,API-APP-0039,app,/api/admin/breeding/invite/accept,S,reverse-evidence/api-routes.txt,/api/admin/breeding/invite/accept,normalized_key=/api/admin/breeding/invite/accept
MAP-0040,admin/breeding,API-APP-0040,app,/api/admin/breeding/transaction/create,S,reverse-evidence/api-routes.txt,/api/admin/breeding/transaction/create,normalized_key=/api/admin/breeding/transaction/create
MAP-0041,admin/breeding,API-APP-0041,app,/api/admin/breeding/transaction/list,S,reverse-evidence/api-routes.txt,/api/admin/breeding/transaction/list,normalized_key=/api/admin/breeding/transaction/list
MAP-0042,admin/breeding,API-APP-0042,app,/api/admin/breeding/transaction/r,I,reverse-evidence/api-routes.txt,/api/admin/breeding/transaction/r,normalized_key=/api/admin/breeding/transaction/r
MAP-0043,admin/calendar,API-APP-0043,app,/api/admin/calendar/events/,S,reverse-evidence/api-routes.txt,/api/admin/calendar/events,normalized_key=/api/admin/calendar/events
MAP-0044,admin/calendar,API-APP-0044,app,/api/admin/calendar/month-data,S,reverse-evidence/api-routes.txt,/api/admin/calendar/month-data,normalized_key=/api/admin/calendar/month-data
MAP-0045,admin/cat,API-APP-0045,app,/api/admin/cat/,S,reverse-evidence/api-routes.txt,/api/admin/cat,normalized_key=/api/admin/cat
MAP-0046,admin/cat,API-APP-0046,app,/api/admin/cat/0/breeding-check,S,reverse-evidence/api-routes.txt,/api/admin/cat/0/breeding-check,normalized_key=/api/admin/cat/0/breeding-check
MAP-0047,admin/cat,API-APP-0047,app,/api/admin/cat/bepro/planes,I,reverse-evidence/api-routes.txt,/api/admin/cat/bepro/planes,normalized_key=/api/admin/cat/bepro/planes
MAP-0048,admin/cat,API-APP-0048,app,/api/admin/cat/health,S,reverse-evidence/api-routes.txt,/api/admin/cat/health,normalized_key=/api/admin/cat/health
MAP-0049,admin/cat,API-APP-0049,app,/api/admin/cat/health/,S,reverse-evidence/api-routes.txt,/api/admin/cat/health,normalized_key=/api/admin/cat/health
MAP-0050,admin/cat,API-APP-0050,app,/api/admin/cat/levels,S,reverse-evidence/api-routes.txt,/api/admin/cat/levels,normalized_key=/api/admin/cat/levels
MAP-0051,admin/cat,API-APP-0051,app,/api/admin/cat/levels/add,S,reverse-evidence/api-routes.txt,/api/admin/cat/levels/add,normalized_key=/api/admin/cat/levels/add
MAP-0052,admin/cat,API-APP-0052,app,/api/admin/cat/levels/bind/,I,reverse-evidence/api-routes.txt,/api/admin/cat/levels/bind,normalized_key=/api/admin/cat/levels/bind
MAP-0053,admin/cat,API-APP-0053,app,/api/admin/cat/levels/delete/,S,reverse-evidence/api-routes.txt,/api/admin/cat/levels/delete,normalized_key=/api/admin/cat/levels/delete
MAP-0054,admin/cat,API-APP-0054,app,/api/admin/cat/levels/toggle-visibility/,S,reverse-evidence/api-routes.txt,/api/admin/cat/levels/toggle-visibility,normalized_key=/api/admin/cat/levels/toggle-visibility
MAP-0055,admin/cat,API-APP-0055,app,/api/admin/cat/levels/update/,S,reverse-evidence/api-routes.txt,/api/admin/cat/levels/update,normalized_key=/api/admin/cat/levels/update
MAP-0056,admin/cat,API-APP-0056,app,/api/admin/cat/levels/withcats,S,reverse-evidence/api-routes.txt,/api/admin/cat/levels/withcats,normalized_key=/api/admin/cat/levels/withcats
MAP-0057,admin/cat,API-APP-0057,app,/api/admin/cat/planes,S,reverse-evidence/api-routes.txt,/api/admin/cat/planes,normalized_key=/api/admin/cat/planes
MAP-0058,admin/cat,API-APP-0058,app,/api/admin/cat/planes/,S,reverse-evidence/api-routes.txt,/api/admin/cat/planes,normalized_key=/api/admin/cat/planes
MAP-0059,admin/cat,API-APP-0059,app,/api/admin/cat/planes/add,S,reverse-evidence/api-routes.txt,/api/admin/cat/planes/add,normalized_key=/api/admin/cat/planes/add
MAP-0060,admin/cat,API-APP-0060,app,/api/admin/cat/planes/archive/,S,reverse-evidence/api-routes.txt,/api/admin/cat/planes/archive,normalized_key=/api/admin/cat/planes/archive
MAP-0061,admin/cat,API-APP-0061,app,/api/admin/cat/planes/breeding/,S,reverse-evidence/api-routes.txt,/api/admin/cat/planes/breeding,normalized_key=/api/admin/cat/planes/breeding
MAP-0062,admin/cat,API-APP-0062,app,/api/admin/cat/planes/confirm/,S,reverse-evidence/api-routes.txt,/api/admin/cat/planes/confirm,normalized_key=/api/admin/cat/planes/confirm
MAP-0063,admin/cat,API-APP-0063,app,/api/admin/cat/planes/delete/,S,reverse-evidence/api-routes.txt,/api/admin/cat/planes/delete,normalized_key=/api/admin/cat/planes/delete
MAP-0064,admin/cat,API-APP-0064,app,/api/admin/cat/planes/detail/,S,reverse-evidence/api-routes.txt,/api/admin/cat/planes/detail,normalized_key=/api/admin/cat/planes/detail
MAP-0065,admin/cat,API-APP-0065,app,/api/admin/cat/planes/remind/,S,reverse-evidence/api-routes.txt,/api/admin/cat/planes/remind,normalized_key=/api/admin/cat/planes/remind
MAP-0066,admin/cat,API-APP-0066,app,/api/admin/cat/planes/update/,I,reverse-evidence/api-routes.txt,/api/admin/cat/planes/update,normalized_key=/api/admin/cat/planes/update
