id,module,name,path,route,evidence_level,evidence_ref,status,notes
API-N-0001,admin/account,path-heuristic-low,app-only,/api/admin/account,I,merged app+web baselines,normalized|app-only|P0|method=inferred,"sources=app-only; evidence_combo=S+I; raw_ids=API-APP-0001; method=get; method_source=path-heuristic-low; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0002,admin/account,path-heuristic-medium,app-only,/api/admin/account/recover,I,merged app+web baselines,normalized|app-only|P0|method=inferred,"sources=app-only; evidence_combo=S+I; raw_ids=API-APP-0002; method=put; method_source=path-heuristic-medium; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0003,admin/accounting,path-heuristic-medium,app-only,/api/admin/accounting/categories/,I,merged app+web baselines,normalized|app-only|P0|method=inferred,"sources=app-only; evidence_combo=S+I; raw_ids=API-APP-0003; method=get; method_source=path-heuristic-medium; auth=bearer-or-token-header; entities=cat; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0004,admin/accounting,app-only,app-only,/api/admin/accounting/categoriesr,S,merged app+web baselines,normalized|app-only|P0|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0004; method=∅; method_source=∅; auth=bearer-or-token-header; entities=cat; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0005,admin/accounting,app-only,app-only,/api/admin/accounting/daily-report,S,merged app+web baselines,normalized|app-only|P0|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0005; method=∅; method_source=∅; auth=bearer-or-token-header; entities=daily_health_status; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0006,admin/accounting,app-only,app-only,/api/admin/accounting/goods-sales-report,S,merged app+web baselines,normalized|app-only|P0|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0006; method=∅; method_source=∅; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0007,admin/accounting,app-only,app-only,/api/admin/accounting/monthly-report,S,merged app+web baselines,normalized|app-only|P0|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0007; method=∅; method_source=∅; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0008,admin/accounting,app-only,app-only,/api/admin/accounting/records,S,merged app+web baselines,normalized|app-only|P0|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0008,API-APP-0009; method=∅; method_source=∅; auth=bearer-or-token-header; entities=health_records; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0009,admin/accounting,app-only,app-only,/api/admin/accounting/statisticsr,S,merged app+web baselines,normalized|app-only|P0|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0010; method=∅; method_source=∅; auth=bearer-or-token-header; entities=-; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
API-N-0010,admin/accounting,app-only,app-only,/api/admin/accounting/subcategories,S,merged app+web baselines,normalized|app-only|P0|method=unknown,"sources=app-only; evidence_combo=S; raw_ids=API-APP-0011; method=∅; method_source=∅; auth=bearer-or-token-header; entities=cat; services=accounting_api_service,agent_api_service,ai_api_service,analytics_api_service,api_service,app_tool_badge_api_service,article_api_service,auth_api_service"
