id,module,name,path,route,evidence_level,evidence_ref,status,notes
EDGE-0001,agent,page_controller,PAGE-0001,CTRL-0003,S,static name/path token overlap from AOT catalogs,linked,PAGE-0001 -[page_controller]-> CTRL-0003; token_overlap:agent
EDGE-0002,accounting,page_controller,PAGE-0009,CTRL-0002,S,static name/path token overlap from AOT catalogs,linked,PAGE-0009 -[page_controller]-> CTRL-0002; token_overlap:accounting
EDGE-0003,accounting,page_controller,PAGE-0010,CTRL-0002,S,static name/path token overlap from AOT catalogs,linked,PAGE-0010 -[page_controller]-> CTRL-0002; token_overlap:accounting
EDGE-0004,accounting,page_controller,PAGE-0011,CTRL-0002,S,static name/path token overlap from AOT catalogs,linked,PAGE-0011 -[page_controller]-> CTRL-0002; token_overlap:accounting
EDGE-0005,list,page_controller,PAGE-0015,CTRL-0013,S,static name/path token overlap from AOT catalogs,linked,PAGE-0015 -[page_controller]-> CTRL-0013; token_overlap:list
EDGE-0006,list,page_controller,PAGE-0015,CTRL-0017,S,static name/path token overlap from AOT catalogs,linked,PAGE-0015 -[page_controller]-> CTRL-0017; token_overlap:list
EDGE-0007,list,page_controller,PAGE-0015,CTRL-0018,S,static name/path token overlap from AOT catalogs,linked,PAGE-0015 -[page_controller]-> CTRL-0018; token_overlap:list
EDGE-0008,list,page_controller,PAGE-0015,CTRL-0026,S,static name/path token overlap from AOT catalogs,linked,PAGE-0015 -[page_controller]-> CTRL-0026; token_overlap:list
EDGE-0009,list,page_controller,PAGE-0015,CTRL-0029,S,static name/path token overlap from AOT catalogs,linked,PAGE-0015 -[page_controller]-> CTRL-0029; token_overlap:list
EDGE-0010,list,page_controller,PAGE-0015,CTRL-0031,S,static name/path token overlap from AOT catalogs,linked,PAGE-0015 -[page_controller]-> CTRL-0031; token_overlap:list
EDGE-0011,list,page_controller,PAGE-0015,CTRL-0032,S,static name/path token overlap from AOT catalogs,linked,PAGE-0015 -[page_controller]-> CTRL-0032; token_overlap:list
EDGE-0012,list,page_controller,PAGE-0016,CTRL-0013,S,static name/path token overlap from AOT catalogs,linked,PAGE-0016 -[page_controller]-> CTRL-0013; token_overlap:list
EDGE-0013,list,page_controller,PAGE-0016,CTRL-0017,S,static name/path token overlap from AOT catalogs,linked,PAGE-0016 -[page_controller]-> CTRL-0017; token_overlap:list
EDGE-0014,list,page_controller,PAGE-0016,CTRL-0018,S,static name/path token overlap from AOT catalogs,linked,PAGE-0016 -[page_controller]-> CTRL-0018; token_overlap:list
EDGE-0015,list,page_controller,PAGE-0016,CTRL-0026,S,static name/path token overlap from AOT catalogs,linked,PAGE-0016 -[page_controller]-> CTRL-0026; token_overlap:list
EDGE-0016,list,page_controller,PAGE-0016,CTRL-0029,S,static name/path token overlap from AOT catalogs,linked,PAGE-0016 -[page_controller]-> CTRL-0029; token_overlap:list
EDGE-0017,list,page_controller,PAGE-0016,CTRL-0031,S,static name/path token overlap from AOT catalogs,linked,PAGE-0016 -[page_controller]-> CTRL-0031; token_overlap:list
EDGE-0018,list,page_controller,PAGE-0016,CTRL-0032,S,static name/path token overlap from AOT catalogs,linked,PAGE-0016 -[page_controller]-> CTRL-0032; token_overlap:list
EDGE-0019,list,page_controller,PAGE-0017,CTRL-0013,S,static name/path token overlap from AOT catalogs,linked,PAGE-0017 -[page_controller]-> CTRL-0013; token_overlap:list
EDGE-0020,list,page_controller,PAGE-0017,CTRL-0017,S,static name/path token overlap from AOT catalogs,linked,PAGE-0017 -[page_controller]-> CTRL-0017; token_overlap:list
