id,module,name,path,route,evidence_level,evidence_ref,status,notes
CH-0001,webview,plugins.flutter.io/webview,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0002,storage,plugins.flutter.io/shared_preferences,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0003,deeplink,plugins.flutter.io/url_launcher,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0004,"camera,gallery",plugins.flutter.io/image_picker,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0005,file,plugins.flutter.io/path_provider,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0006,storage,com.tekartik.sqflite,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0007,deeplink,com.llfbandit.app_links/messages,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0008,deeplink,com.llfbandit.app_links/events,,,S,App.framework/App strings,observed,EventChannel marker observed in AOT strings
CH-0009,audio,com.llfbandit.record/messages,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0010,audio,com.llfbandit.record/events,,,S,App.framework/App strings,observed,EventChannel marker observed in AOT strings
CH-0011,notification,flutter/local_notifications,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0012,auth,MethodChannelSignInWithApple,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0013,share,MethodChannelShare,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0014,permission,MethodChannelPermissionHandler,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0015,camera,MethodChannelMobileScanner,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0016,file,MethodChannelFilePicker,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0017,image,MethodChannelImageCropper,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0018,gallery,MethodChannelGal,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0019,device,MethodChannelDeviceInfo,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0020,device,MethodChannelPackageInfo,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0021,file,MethodChannelPathProvider,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0022,notification,MethodChannelFlutterLocalNotificationsPlugin,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0023,storage,MethodChannelSharedPreferencesStore,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0024,deeplink,MethodChannelUrlLauncher,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0025,"camera,gallery",MethodChannelImagePicker,,,S,App.framework/App strings,observed,MethodChannel marker observed in AOT strings
CH-0026,webview,dev.flutter.pigeon.webview_flutter_wkwebview.,,,S,App.framework/App strings,observed,Pigeon marker observed in AOT strings
CH-0027,storage,dev.flutter.pigeon.shared_preferences_foundation.,,,S,App.framework/App strings,observed,Pigeon marker observed in AOT strings
CH-0028,deeplink,dev.flutter.pigeon.url_launcher_ios.,,,S,App.framework/App strings,observed,Pigeon marker observed in AOT strings
CH-0029,video,dev.flutter.pigeon.video_player_avfoundation.,,,S,App.framework/App strings,observed,Pigeon marker observed in AOT strings
CH-0030,"camera,gallery",dev.flutter.pigeon.image_picker_ios.,,,S,App.framework/App strings,observed,Pigeon marker observed in AOT strings
CH-0031,webview-bridge,window.FMBridge,,,S,App.framework/App strings,observed,JSBridge marker observed in AOT strings
CH-0032,webview-bridge,window.FlutterBridge,,,S,App.framework/App strings,observed,JSBridge marker observed in AOT strings
CH-0033,webview-bridge,FMBridgeChannel,,,S,App.framework/App strings,observed,JSBridge marker observed in AOT strings
CH-0034,webview-bridge,FlutterBridge,,,S,App.framework/App strings,observed,JSBridge marker observed in AOT strings
CH-0035,image_picker_ios,dev.flutter.pigeon.image_picker_ios.ImagePickerApi,,,S,App.framework/App strings,observed,Pigeon API type/root string
CH-0036,shared_preferences_foundation,dev.flutter.pigeon.shared_preferences_foundation.LegacyUserDefaultsApi,,,S,App.framework/App strings,observed,Pigeon API type/root string
