id,module,name,path,route,evidence_level,evidence_ref,status,notes
PAGE-0001,agent,agent_workbench_page.dart,package:cattery_flutter/presentation/pages/agent/agent_workbench_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0002,analytics,analytics_binding.dart,package:cattery_flutter/presentation/pages/analytics/analytics_binding.dart,,S,reverse-evidence/page-paths.txt,binding,GetX binding; not a standalone UI page; source=reverse-evidence/page-paths.txt
PAGE-0003,analytics,analytics_controller.dart,package:cattery_flutter/presentation/pages/analytics/analytics_controller.dart,,S,reverse-evidence/page-paths.txt,controller-colocated,controller under pages/; cataloged in page-paths baseline; source=reverse-evidence/page-paths.txt
PAGE-0004,analytics,analytics_page.dart,package:cattery_flutter/presentation/pages/analytics/analytics_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0005,auth,login_binding.dart,package:cattery_flutter/presentation/pages/auth/login_binding.dart,,S,reverse-evidence/page-paths.txt,binding,GetX binding; not a standalone UI page; source=reverse-evidence/page-paths.txt
PAGE-0006,auth,login_code_page.dart,package:cattery_flutter/presentation/pages/auth/login_code_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0007,auth,login_controller.dart,package:cattery_flutter/presentation/pages/auth/login_controller.dart,,S,reverse-evidence/page-paths.txt,controller-colocated,controller under pages/; cataloged in page-paths baseline; source=reverse-evidence/page-paths.txt
PAGE-0008,auth,login_page.dart,package:cattery_flutter/presentation/pages/auth/login_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0009,balance_approval,balance_approval_binding.dart,package:cattery_flutter/presentation/pages/balance_approval/balance_approval_binding.dart,,S,reverse-evidence/page-paths.txt,binding,GetX binding; not a standalone UI page; source=reverse-evidence/page-paths.txt
PAGE-0010,balance_approval,balance_approval_controller.dart,package:cattery_flutter/presentation/pages/balance_approval/balance_approval_controller.dart,,S,reverse-evidence/page-paths.txt,controller-colocated,controller under pages/; cataloged in page-paths baseline; source=reverse-evidence/page-paths.txt
PAGE-0011,balance_approval,balance_approval_page.dart,package:cattery_flutter/presentation/pages/balance_approval/balance_approval_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0012,boarding_detail,boarding_detail_binding.dart,package:cattery_flutter/presentation/pages/boarding_detail/boarding_detail_binding.dart,,S,reverse-evidence/page-paths.txt,binding,GetX binding; not a standalone UI page; source=reverse-evidence/page-paths.txt
PAGE-0013,boarding_detail,boarding_detail_controller.dart,package:cattery_flutter/presentation/pages/boarding_detail/boarding_detail_controller.dart,,S,reverse-evidence/page-paths.txt,controller-colocated,controller under pages/; cataloged in page-paths baseline; source=reverse-evidence/page-paths.txt
PAGE-0014,boarding_detail,boarding_detail_page.dart,package:cattery_flutter/presentation/pages/boarding_detail/boarding_detail_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0015,boarding_list,boarding_list_binding.dart,package:cattery_flutter/presentation/pages/boarding_list/boarding_list_binding.dart,,S,reverse-evidence/page-paths.txt,binding,GetX binding; not a standalone UI page; source=reverse-evidence/page-paths.txt
PAGE-0016,boarding_list,boarding_list_controller.dart,package:cattery_flutter/presentation/pages/boarding_list/boarding_list_controller.dart,,S,reverse-evidence/page-paths.txt,controller-colocated,controller under pages/; cataloged in page-paths baseline; source=reverse-evidence/page-paths.txt
PAGE-0017,boarding_list,boarding_list_page.dart,package:cattery_flutter/presentation/pages/boarding_list/boarding_list_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0018,brand_task,brand_task_binding.dart,package:cattery_flutter/presentation/pages/brand_task/brand_task_binding.dart,,S,reverse-evidence/page-paths.txt,binding,GetX binding; not a standalone UI page; source=reverse-evidence/page-paths.txt
PAGE-0019,brand_task,brand_task_controller.dart,package:cattery_flutter/presentation/pages/brand_task/brand_task_controller.dart,,S,reverse-evidence/page-paths.txt,controller-colocated,controller under pages/; cataloged in page-paths baseline; source=reverse-evidence/page-paths.txt
PAGE-0020,brand_task,brand_task_hall_page.dart,package:cattery_flutter/presentation/pages/brand_task/brand_task_hall_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0021,brand_task,brand_task_detail_dialog.dart,package:cattery_flutter/presentation/pages/brand_task/widgets/brand_task_detail_dialog.dart,,S,reverse-evidence/page-paths.txt,component,widget/dialog/sheet under pages tree; source=reverse-evidence/page-paths.txt
PAGE-0022,brand_task,my_task_detail_dialog.dart,package:cattery_flutter/presentation/pages/brand_task/widgets/my_task_detail_dialog.dart,,S,reverse-evidence/page-paths.txt,component,widget/dialog/sheet under pages tree; source=reverse-evidence/page-paths.txt
PAGE-0023,breeding,breeding_simulator_page.dart,package:cattery_flutter/presentation/pages/breeding/breeding_simulator_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0024,breeding_plan,breeding_plan_tab_page.dart,package:cattery_flutter/presentation/pages/breeding_plan/breeding_plan_tab_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0025,calendar,calendar_binding.dart,package:cattery_flutter/presentation/pages/calendar/calendar_binding.dart,,S,reverse-evidence/page-paths.txt,binding,GetX binding; not a standalone UI page; source=reverse-evidence/page-paths.txt
PAGE-0026,calendar,calendar_page.dart,package:cattery_flutter/presentation/pages/calendar/calendar_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0027,calendar,calendar_header.dart,package:cattery_flutter/presentation/pages/calendar/widgets/calendar_header.dart,,S,reverse-evidence/page-paths.txt,component,widget/dialog/sheet under pages tree; source=reverse-evidence/page-paths.txt
PAGE-0028,calendar,calendar_statistics_panel.dart,package:cattery_flutter/presentation/pages/calendar/widgets/calendar_statistics_panel.dart,,S,reverse-evidence/page-paths.txt,component,widget/dialog/sheet under pages tree; source=reverse-evidence/page-paths.txt
PAGE-0029,cat_analytics,cat_analytics_binding.dart,package:cattery_flutter/presentation/pages/cat_analytics/cat_analytics_binding.dart,,S,reverse-evidence/page-paths.txt,binding,GetX binding; not a standalone UI page; source=reverse-evidence/page-paths.txt
PAGE-0030,cat_analytics,cat_analytics_controller.dart,package:cattery_flutter/presentation/pages/cat_analytics/cat_analytics_controller.dart,,S,reverse-evidence/page-paths.txt,controller-colocated,controller under pages/; cataloged in page-paths baseline; source=reverse-evidence/page-paths.txt
PAGE-0031,cat_analytics,cat_analytics_page.dart,package:cattery_flutter/presentation/pages/cat_analytics/cat_analytics_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0032,cat_detail,cat_detail_page.dart,package:cattery_flutter/presentation/pages/cat_detail/cat_detail_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0033,cat_weight,cat_weight_binding.dart,package:cattery_flutter/presentation/pages/cat_weight/cat_weight_binding.dart,,S,reverse-evidence/page-paths.txt,binding,GetX binding; not a standalone UI page; source=reverse-evidence/page-paths.txt
PAGE-0034,cat_weight,cat_weight_controller.dart,package:cattery_flutter/presentation/pages/cat_weight/cat_weight_controller.dart,,S,reverse-evidence/page-paths.txt,controller-colocated,controller under pages/; cataloged in page-paths baseline; source=reverse-evidence/page-paths.txt
PAGE-0035,cat_weight,cat_weight_page.dart,package:cattery_flutter/presentation/pages/cat_weight/cat_weight_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0036,contract,contract_center_page.dart,package:cattery_flutter/presentation/pages/contract/contract_center_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0037,contract,contract_controller.dart,package:cattery_flutter/presentation/pages/contract/contract_controller.dart,,S,reverse-evidence/page-paths.txt,controller-colocated,controller under pages/; cataloged in page-paths baseline; source=reverse-evidence/page-paths.txt
PAGE-0038,contract,contract_document_detail_page.dart,package:cattery_flutter/presentation/pages/contract/contract_document_detail_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0039,contract,contract_editor_page.dart,package:cattery_flutter/presentation/pages/contract/contract_editor_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0040,contract,contract_generate_page.dart,package:cattery_flutter/presentation/pages/contract/contract_generate_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0041,data_backup,data_backup_controller.dart,package:cattery_flutter/presentation/pages/data_backup/data_backup_controller.dart,,S,reverse-evidence/page-paths.txt,controller-colocated,controller under pages/; cataloged in page-paths baseline; source=reverse-evidence/page-paths.txt
PAGE-0042,data_backup,data_backup_page.dart,package:cattery_flutter/presentation/pages/data_backup/data_backup_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0043,data_backup,auto_backup_settings_card.dart,package:cattery_flutter/presentation/pages/data_backup/widgets/auto_backup_settings_card.dart,,S,reverse-evidence/page-paths.txt,component,widget/dialog/sheet under pages tree; source=reverse-evidence/page-paths.txt
PAGE-0044,data_backup,auto_backup_settings_dialog.dart,package:cattery_flutter/presentation/pages/data_backup/widgets/auto_backup_settings_dialog.dart,,S,reverse-evidence/page-paths.txt,component,widget/dialog/sheet under pages tree; source=reverse-evidence/page-paths.txt
PAGE-0045,data_backup,backup_history_card.dart,package:cattery_flutter/presentation/pages/data_backup/widgets/backup_history_card.dart,,S,reverse-evidence/page-paths.txt,component,widget/dialog/sheet under pages tree; source=reverse-evidence/page-paths.txt
PAGE-0046,data_backup,backup_status_badge.dart,package:cattery_flutter/presentation/pages/data_backup/widgets/backup_status_badge.dart,,S,reverse-evidence/page-paths.txt,component,widget/dialog/sheet under pages tree; source=reverse-evidence/page-paths.txt
PAGE-0047,data_backup,create_backup_sheet.dart,package:cattery_flutter/presentation/pages/data_backup/widgets/create_backup_sheet.dart,,S,reverse-evidence/page-paths.txt,component,widget/dialog/sheet under pages tree; source=reverse-evidence/page-paths.txt
PAGE-0048,debug,push_debug_page.dart,package:cattery_flutter/presentation/pages/debug/push_debug_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0049,door_list,door_list_binding.dart,package:cattery_flutter/presentation/pages/door_list/door_list_binding.dart,,S,reverse-evidence/page-paths.txt,binding,GetX binding; not a standalone UI page; source=reverse-evidence/page-paths.txt
PAGE-0050,door_list,door_list_page.dart,package:cattery_flutter/presentation/pages/door_list/door_list_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0051,event,event_record_detail_page.dart,package:cattery_flutter/presentation/pages/event/event_record_detail_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0052,event,event_record_page.dart,package:cattery_flutter/presentation/pages/event/event_record_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0053,event_reminder,event_reminder_binding.dart,package:cattery_flutter/presentation/pages/event_reminder/event_reminder_binding.dart,,S,reverse-evidence/page-paths.txt,binding,GetX binding; not a standalone UI page; source=reverse-evidence/page-paths.txt
PAGE-0054,event_reminder,event_reminder_page.dart,package:cattery_flutter/presentation/pages/event_reminder/event_reminder_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0055,feedback,feedback_binding.dart,package:cattery_flutter/presentation/pages/feedback/feedback_binding.dart,,S,reverse-evidence/page-paths.txt,binding,GetX binding; not a standalone UI page; source=reverse-evidence/page-paths.txt
PAGE-0056,feedback,feedback_controller.dart,package:cattery_flutter/presentation/pages/feedback/feedback_controller.dart,,S,reverse-evidence/page-paths.txt,controller-colocated,controller under pages/; cataloged in page-paths baseline; source=reverse-evidence/page-paths.txt
PAGE-0057,feedback,feedback_page.dart,package:cattery_flutter/presentation/pages/feedback/feedback_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0058,financial,category_management_page.dart,package:cattery_flutter/presentation/pages/financial/category_management_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0059,financial,ecommerce_report_page.dart,package:cattery_flutter/presentation/pages/financial/ecommerce_report/ecommerce_report_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0060,financial,financial_main_page.dart,package:cattery_flutter/presentation/pages/financial/financial_main_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0061,financial,record_list_page.dart,package:cattery_flutter/presentation/pages/financial/record_list_page.dart,,S,reverse-evidence/page-paths.txt,imported,standalone page path from AOT; source=reverse-evidence/page-paths.txt
PAGE-0062,financial,bill_summary_section.dart,package:cattery_flutter/presentation/pages/financial/widgets/bill_summary_section.dart,,S,reverse-evidence/page-paths.txt,component,widget/dialog/sheet under pages tree; source=reverse-evidence/page-paths.txt
