id,module,name,path,route,evidence_level,evidence_ref,status,notes
PLUG-0001,flutter-aot,App.framework,/Applications/Cattery Manager.app/Wrapper/Runner.app/Frameworks/App.framework,,S,Runner.app/Frameworks + AOT package paths,present,Flutter AOT business binary; size=25039536
PLUG-0002,flutter-engine,Flutter.framework,/Applications/Cattery Manager.app/Wrapper/Runner.app/Frameworks/Flutter.framework,,S,Runner.app/Frameworks + AOT package paths,present,Flutter engine; size=9150272
PLUG-0003,ads,KSAdSDK.framework,/Applications/Cattery Manager.app/Wrapper/Runner.app/Frameworks/KSAdSDK.framework,,S,Runner.app/Frameworks + AOT package paths,present,Kuaishou ad SDK; size=16451632
PLUG-0004,webview,webview_flutter_wkwebview.framework,/Applications/Cattery Manager.app/Wrapper/Runner.app/Frameworks/webview_flutter_wkwebview.framework,,S,Runner.app/Frameworks + AOT package paths,present,WKWebView Flutter plugin; size=1127648
PLUG-0005,gallery,DKImagePickerController.framework,/Applications/Cattery Manager.app/Wrapper/Runner.app/Frameworks/DKImagePickerController.framework,,S,Runner.app/Frameworks + AOT package paths,present,Image picker controller (DK); size=1118848
PLUG-0006,gallery,DKPhotoGallery.framework,/Applications/Cattery Manager.app/Wrapper/Runner.app/Frameworks/DKPhotoGallery.framework,,S,Runner.app/Frameworks + AOT package paths,present,Photo gallery (DK); size=838496
PLUG-0007,image,SDWebImage.framework,/Applications/Cattery Manager.app/Wrapper/Runner.app/Frameworks/SDWebImage.framework,,S,Runner.app/Frameworks + AOT package paths,present,Image loading/cache; size=876368
PLUG-0008,image,TOCropViewController.framework,/Applications/Cattery Manager.app/Wrapper/Runner.app/Frameworks/TOCropViewController.framework,,S,Runner.app/Frameworks + AOT package paths,present,Image crop UI; size=332496
PLUG-0009,image,libwebp.framework,/Applications/Cattery Manager.app/Wrapper/Runner.app/Frameworks/libwebp.framework,,S,Runner.app/Frameworks + AOT package paths,present,WebP codec; size=651680
PLUG-0010,image,SwiftyGif.framework,/Applications/Cattery Manager.app/Wrapper/Runner.app/Frameworks/SwiftyGif.framework,,S,Runner.app/Frameworks + AOT package paths,present,GIF rendering; size=246960
PLUG-0011,camera,camera_avfoundation.framework,/Applications/Cattery Manager.app/Wrapper/Runner.app/Frameworks/camera_avfoundation.framework,,S,Runner.app/Frameworks + AOT package paths,present,Camera AVFoundation plugin; size=601648
