id,module,name,path,route,evidence_level,evidence_ref,status,notes
SVC-0001,accounting,accounting_api_service.dart,package:cattery_shared/data/services/accounting_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0002,agent,agent_api_service.dart,package:cattery_shared/data/services/agent_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0003,ai,ai_api_service.dart,package:cattery_shared/data/services/ai_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0004,analytics,analytics_api_service.dart,package:cattery_shared/data/services/analytics_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0005,api,api_service.dart,package:cattery_shared/data/services/api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0006,app_tool_badge,app_tool_badge_api_service.dart,package:cattery_shared/data/services/app_tool_badge_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0007,article,article_api_service.dart,package:cattery_shared/data/services/article_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0008,auth,auth_api_service.dart,package:cattery_shared/data/services/auth_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0009,backup,backup_api_service.dart,package:cattery_shared/data/services/backup_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0010,before_after_video,before_after_video_api_service.dart,package:cattery_shared/data/services/before_after_video_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0011,boarding,boarding_api_service.dart,package:cattery_shared/data/services/boarding_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0012,brand_task,brand_task_api_service.dart,package:cattery_shared/data/services/brand_task_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0013,breed,breed_api_service.dart,package:cattery_shared/data/services/breed_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0014,breeding_plan,breeding_plan_api_service.dart,package:cattery_shared/data/services/breeding_plan_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0015,calendar,calendar_api_service.dart,package:cattery_shared/data/services/calendar_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0016,cat,cat_api_service.dart,package:cattery_shared/data/services/cat_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0017,cat_face_feature,cat_face_feature_api_service.dart,package:cattery_shared/data/services/cat_face_feature_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0018,cat_weight,cat_weight_api_service.dart,package:cattery_shared/data/services/cat_weight_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0019,cdn,cdn_api_service.dart,package:cattery_shared/data/services/cdn_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0020,cloud_gallery,cloud_gallery_service.dart,package:cattery_shared/data/services/cloud_gallery_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0021,contract,contract_api_service.dart,package:cattery_shared/data/services/contract_api_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
SVC-0022,cos_multipart_upload,cos_multipart_upload_service.dart,package:cattery_shared/data/services/cos_multipart_upload_service.dart,,S,reverse-evidence/service-paths.txt,imported,imported from reverse-evidence/service-paths.txt
