id,module,name,path,route,evidence_level,evidence_ref,status,notes
XMAP-0001,admin/articles,shared,app+web,/api/admin/articles,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=get
XMAP-0002,admin/breeding,shared,app+web,/api/admin/breeding/invite/accept,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
XMAP-0003,admin/breeding,shared,app+web,/api/admin/breeding/transaction/create,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
XMAP-0004,admin/breeding,shared,app+web,/api/admin/breeding/transaction/list,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=get
XMAP-0005,admin/cat,shared,app+web,/api/admin/cat/levels,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=get
XMAP-0006,admin/cat,shared,app+web,/api/admin/cat/levels/add,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
XMAP-0007,admin/cat,shared,app+web,/api/admin/cat/planes,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=get
XMAP-0008,admin/cat,shared,app+web,/api/admin/cat/planes/add,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
XMAP-0009,admin/cat,shared,app+web,/api/admin/cat/tags,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=get
XMAP-0010,admin/cat,shared,app+web,/api/admin/cat/tags/add,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
XMAP-0011,admin/cat,shared,app+web,/api/admin/cat/varieties,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=get
XMAP-0012,admin/cat,shared,app+web,/api/admin/cat/varieties/add,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
XMAP-0013,admin/cats,shared,app+web,/api/admin/cats,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=get
XMAP-0014,admin/cats,shared,app+web,/api/admin/cats/add,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
XMAP-0015,admin/doors,shared,app+web,/api/admin/doors/add,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
XMAP-0016,admin/doors,shared,app+web,/api/admin/doors/rule,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=get
XMAP-0017,admin/doors,shared,app+web,/api/admin/doors/rule/set,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
XMAP-0018,admin/membership,shared,app+web,/api/admin/membership/levels,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
XMAP-0019,admin/merchant,shared,app+web,/api/admin/merchant,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=get
XMAP-0020,admin/merchant,shared,app+web,/api/admin/merchant/create,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
XMAP-0021,admin/merchant,shared,app+web,/api/admin/merchant/update,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=put
XMAP-0022,admin/pet,shared,app+web,/api/admin/pet/transfer/create,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
XMAP-0023,admin/pet,shared,app+web,/api/admin/pet/transfer/list,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=get
XMAP-0024,admin/point,shared,app+web,/api/admin/point/adjust,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
XMAP-0025,admin/point,shared,app+web,/api/admin/point/logs,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=get
XMAP-0026,admin/product,shared,app+web,/api/admin/product,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=get
XMAP-0027,admin/queues,shared,app+web,/api/admin/queues,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=get
XMAP-0028,admin/queues,shared,app+web,/api/admin/queues/add,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
XMAP-0029,admin/queues,shared,app+web,/api/admin/queues/rule,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=get
XMAP-0030,admin/queues,shared,app+web,/api/admin/queues/rule/set,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
XMAP-0031,admin/seo,shared,app+web,/api/admin/seo/profile,S+W,api-routes.txt + web/api-routes.txt,shared,present in both App AOT and Web admin; method=post
