id,module,name,path,route,evidence_level,evidence_ref,status,notes
WROUTE-0001,web-route,/,cattery-admin,/,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
WROUTE-0002,web-route,bind,cattery-admin,/bind,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
WROUTE-0003,web-route,bind-service,cattery-admin,/bind-service,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
WROUTE-0004,web-route,privacy,cattery-admin,/help/app/privacy,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
WROUTE-0005,web-route,privacy,cattery-admin,/help/privacy,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
WROUTE-0006,web-route,user_agreement,cattery-admin,/help/user_agreement,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
WROUTE-0007,web-route,login,cattery-admin,/login,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
WROUTE-0008,web-route,breeding-challenge,cattery-admin,/marketing/breeding-challenge,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
WROUTE-0009,pricing,pricing,cattery-admin,/pricing,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
WROUTE-0010,pricing,orders,cattery-admin,/pricing/orders,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
WROUTE-0011,pricing,:order_no,cattery-admin,/pricing/orders/detail/:order_no,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
WROUTE-0012,pricing,trade,cattery-admin,/pricing/trade,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
WROUTE-0013,web-route,2024,cattery-admin,/summarize/2024,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
WROUTE-0014,web-route,:id,cattery-admin,/transfer/:id,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
WROUTE-0015,web-route,loan,cattery-admin,/transfer/loan,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
WROUTE-0016,web-route,:id,cattery-admin,/transfer/loan/:id,W,reverse-evidence/web/cattery-admin.js path:,observed,Vue router path object in admin SPA
